1
5 80
1 2 3 4 5
1 2 3 4 5
1 2 3 4 5
1 2 3 4 5
1 2 3 4 5
2
5 60
1 2 3 4 5
1 2 3 4 5
1 2 6 7 8
3 9 10 11 12
3 9 10 11 12
1000 80
41 47 34 40 29
4 18 22 44 5
5 1 27 11 55
2 27 36 51 24
2 33 52 22 21
56 38 35 47 6
11 18 9 52 47
19 55 54 23 51
2 33 44 21 31
53 28 47 44 22
57 19 23 21 49
58 16 35 50 42
48 46 40 2 4
28 26 45 50 9
10 50 6 21 33
8 9 23 24 34
36 20 46 56 11
28 24 39 26 43
17 58 38 42 9
41 33 35 19 18
24 30 57 26 53
6 41 5 44 52
30 9 17 33 57
12 46 30 41 36
35 47 15 34 11
52 50 10 21 4
46 10 27 11 7
57 37 47 33 3
5 29 49 38 41
48 2 46 26 10
33 8 0 11 42
35 10 59 24 17
8 3 55 21 2
50 31 56 14 40
36 21 48 39 4
1 54 53 19 18
38 0 8 7 47
8 13 48 43 47
21 30 17 13 34
29 56 35 51 20
29 19 56 58 3
44 28 24 29 49
2 15 25 33 3
43 27 34 23 8
0 18 56 38 41
29 38 49 37 12
42 58 52 38 59
10 17 38 11 15
28 16 51 2 54
32 15 48 26 22
26 35 53 49 42
24 36 41 18 2
51 1 59 17 36
52 29 35 32 20
50 3 49 41 48
21 9 15 43 22
25 2 28 46 57
57 52 32 29 54
41 29 56 9 28
12 5 55 14 49
1 32 25 0 58
33 59 3 19 16
7 49 37 6 13
35 57 16 26 25
8 22 35 54 1
56 31 26 23 53
55 45 13 12 8
32 5 53 36 1
58 6 22 1 4
36 2 49 1 15
50 13 26 44 59
12 39 33 44 54
50 5 9 46 33
34 2 8 38 7
5 18 11 2 25
17 34 14 24 54
14 12 59 13 50
47 37 18 17 13
50 23 28 32 5
42 20 53 7 2
19 47 45 43 4
43 32 41 21 12
45 53 11 32 22
2 26 44 40 47
20 33 14 50 10
55 53 31 20 56
47 25 10 20 14
55 24 59 25 56
34 38 22 31 26
58 33 31 44 24
59 52 40 27 6
10 17 35 36 47
43 18 24 9 22
46 45 7 57 14
45 7 49 8 43
20 2 22 3 56
17 1 55 5 4
40 22 16 50 46
31 51 47 33 40
30 44 8 43 20
31 2 29 0 13
58 25 47 17 0
18 19 23 40 37
44 57 8 53 7
1 50 0 48 33
24 25 0 31 55
16 12 10 43 25
36 56 6 57 37
57 51 49 21 56
2 37 32 57 36
5 41 3 9 49
5 19 52 36 35
53 42 44 34 54
52 37 29 32 23
27 23 11 55 47
48 55 38 3 2
54 31 1 15 39
5 41 50 6 14
25 43 30 58 19
21 13 14 17 36
13 36 25 2 48
41 0 13 21 55
15 2 11 37 24
38 12 23 36 13
20 13 35 32 38
10 57 52 32 35
29 11 0 28 5
10 57 9 25 33
54 51 40 24 38
35 59 32 45 4
1 3 49 15 28
12 57 29 36 1
7 47 21 29 40
33 14 21 17 55
43 53 52 24 21
52 39 30 28 7
4 55 6 18 10
47 27 24 23 41
43 6 23 10 31
9 0 44 42 59
33 31 44 18 52
30 5 55 39 3
22 38 27 24 28
31 44 53 35 5
32 26 18 29 22
59 5 29 44 45
0 25 8 58 30
1 3 12 52 32
7 10 3 21 23
47 20 29 35 45
28 3 27 48 37
29 3 9 1 28
2 8 20 41 18
14 8 46 30 29
3 10 0 28 7
36 23 35 6 5
18 13 9 4 28
3 59 37 46 24
15 38 26 31 25
15 41 49 16 44
35 24 2 33 56
48 52 26 13 9
4 45 46 52 55
33 5 16 36 41
34 54 36 52 56
58 22 35 15 51
50 21 45 31 57
46 10 30 22 34
33 56 12 28 2
33 54 43 14 23
36 28 24 17 13
49 28 40 20 18
58 50 35 41 24
23 16 3 29 22
21 49 48 22 33
14 0 2 23 51
49 38 39 48 59
31 3 45 1 44
32 45 53 38 9
2 58 17 50 21
54 28 1 59 13
15 9 37 58 0
51 44 57 15 30
39 32 8 2 34
5 10 4 54 40
55 31 1 59 10
38 33 8 37 12
16 9 13 48 41
10 43 3 28 44
58 0 31 25 14
51 53 7 15 8
5 16 29 30 18
9 13 6 20 36
9 27 28 39 4
21 5 6 36 16
6 46 47 21 44
20 46 21 22 4
29 15 22 53 24
1 45 22 43 51
6 28 18 22 47
7 21 52 16 50
54 49 4 36 50
53 56 52 34 25
8 51 32 31 54
59 38 2 4 35
32 9 39 58 23
18 6 19 38 46
16 22 53 38 6
32 17 25 27 58
2 27 18 50 12
20 18 39 52 48
22 0 55 15 2
27 16 37 38 28
51 56 50 9 5
58 49 40 20 27
22 35 12 41 14
18 46 14 6 8
9 58 3 15 35
1 55 15 8 34
30 5 44 57 42
1 44 9 30 3
30 53 5 50 57
16 37 18 33 54
24 31 29 55 45
17 44 43 10 48
28 21 5 32 13
32 34 36 6 16
12 9 0 14 39
43 31 21 9 19
45 25 16 10 55
29 24 46 33 54
9 0 15 33 49
21 32 28 58 51
48 46 10 42 54
19 10 32 42 11
15 4 34 44 22
55 20 54 12 1
22 47 37 9 45
15 54 30 23 34
21 52 32 39 48
32 42 27 48 35
48 3 59 34 44
26 59 58 5 46
6 40 27 52 7
32 16 14 27 41
43 2 51 36 23
8 3 42 58 16
40 31 22 36 50
45 4 6 57 9
3 34 17 48 31
36 43 28 47 26
31 17 32 43 47
8 25 28 45 58
57 43 13 1 30
48 11 10 9 32
14 29 21 45 47
13 53 34 32 30
1 2 17 30 42
24 1 30 3 17
43 19 35 9 47
42 50 18 6 7
50 8 11 38 13
20 43 46 42 30
32 48 14 21 18
23 47 25 18 21
17 10 54 58 18
21 23 56 47 58
49 55 5 35 26
6 33 20 10 8
48 32 13 20 46
55 10 19 17 52
2 8 12 29 44
14 8 12 7 32
55 8 24 17 23
49 55 21 9 20
12 48 43 51 54
13 11 20 54 30
17 59 20 18 31
24 40 47 59 25
23 18 52 13 51
0 54 40 57 25
49 40 25 51 12
10 49 38 39 11
37 13 33 0 17
26 16 50 42 18
59 18 29 39 24
12 0 8 7 57
23 10 27 36 14
42 11 59 21 16
50 23 3 36 12
12 41 34 33 42
16 40 35 44 19
36 0 18 32 47
4 40 37 26 30
1 42 49 43 18
45 41 55 36 16
18 38 19 37 30
27 29 21 55 38
16 33 19 24 25
33 48 52 23 49
14 28 15 31 33
42 28 11 6 44
6 17 57 49 36
54 11 49 52 46
33 31 35 9 37
0 12 56 31 7
26 22 35 23 54
0 17 5 53 21
38 18 40 51 27
45 50 35 49 30
29 33 5 14 2
7 12 16 47 22
22 10 1 31 27
45 59 21 58 31
7 28 46 16 19
9 2 6 26 35
48 34 0 33 17
28 23 1 51 42
35 37 26 52 41
16 1 41 35 47
4 18 15 36 34
39 38 14 13 22
15 23 28 53 32
7 0 6 58 30
41 1 39 35 23
16 13 1 25 53
14 50 53 41 27
59 50 43 5 32
9 21 12 36 1
27 10 51 45 32
32 29 20 5 11
58 13 46 28 51
46 36 17 0 54
49 28 44 29 58
17 55 6 24 48
26 8 37 38 30
19 25 26 59 0
10 31 33 55 25
18 40 11 7 47
4 26 47 40 7
54 31 12 8 13
25 37 51 24 17
46 28 42 33 20
2 17 38 28 35
29 27 1 13 24
7 21 33 57 22
47 5 13 24 15
25 41 4 1 12
6 56 43 33 20
0 48 51 33 28
11 36 19 28 0
31 33 19 23 13
36 55 5 54 40
15 0 36 35 25
51 28 59 36 22
12 45 0 55 22
25 2 20 36 57
2 8 0 16 58
53 0 26 14 17
0 55 32 47 35
26 1 8 55 16
25 49 52 16 55
42 23 22 21 32
8 38 17 54 10
30 35 39 49 55
23 20 19 5 11
1 41 52 53 33
49 27 22 33 43
20 34 18 4 43
29 12 24 50 5
47 34 7 26 36
23 0 59 50 8
50 51 5 1 30
23 9 15 58 59
26 2 35 27 16
53 48 35 39 33
30 2 5 21 25
47 27 29 14 31
17 38 5 37 58
18 24 52 43 28
44 1 23 50 41
47 37 52 31 23
21 43 41 25 45
10 15 1 22 12
51 35 15 33 38
39 22 48 54 42
7 5 18 24 30
19 54 4 3 25
38 4 1 50 33
23 14 30 6 7
45 25 36 50 29
38 3 55 57 49
30 4 48 37 54
0 12 33 15 14
21 36 6 24 55
2 19 21 12 24
59 39 43 27 56
5 58 17 28 19
57 51 36 55 40
1 33 12 36 20
55 27 4 54 19
30 16 41 51 49
30 54 32 51 9
7 50 59 13 53
23 1 43 5 56
59 15 19 8 18
23 59 55 21 53
46 2 18 48 41
39 38 11 3 54
23 29 2 7 42
1 7 6 51 37
53 0 16 10 22
55 26 30 17 42
40 9 5 14 23
22 35 6 40 38
48 11 45 47 25
47 49 42 43 7
22 37 39 3 6
3 48 51 10 56
38 47 56 45 11
22 59 55 56 31
55 4 51 43 28
15 10 19 32 51
43 53 35 42 49
0 14 18 45 37
13 53 50 23 10
13 42 31 51 30
38 41 27 12 58
59 42 43 30 28
42 35 15 8 1
2 54 59 28 18
22 37 1 47 29
25 0 53 24 30
21 5 33 24 42
3 22 29 54 49
52 34 9 10 24
44 29 18 5 23
52 33 50 31 27
11 49 58 23 52
59 33 23 2 8
3 34 10 42 40
11 12 20 57 16
56 38 0 35 28
38 19 15 57 3
42 2 40 30 33
41 26 28 17 37
32 18 47 49 5
9 32 59 1 23
30 8 31 9 52
30 32 4 47 55
48 41 10 30 17
51 36 39 3 40
33 37 13 10 54
33 42 43 1 10
42 47 57 11 3
10 37 40 23 46
23 21 39 5 46
11 5 41 40 49
57 43 30 58 21
55 41 27 31 39
24 19 38 20 50
1 58 25 40 48
39 42 58 40 38
35 41 14 7 13
36 21 6 38 50
18 56 15 17 51
20 52 18 13 35
25 6 1 34 39
13 8 33 12 53
33 17 3 30 11
14 8 47 58 29
8 39 7 49 31
9 35 38 56 59
23 3 51 34 1
54 25 27 16 53
24 46 53 8 23
24 12 47 28 9
10 31 14 27 43
44 39 34 55 26
58 9 18 29 47
40 38 4 35 26
9 43 6 12 0
30 36 15 21 46
11 49 27 43 25
50 26 15 41 48
2 37 22 24 25
